Index,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,HSC_P_Grow_Fb,Opt_T_Grow_Fb,Rate_Settling_ON,Rate_Releasing_NH3,Rate_Denitrification_NOx,Rate_Settling_OP,Rate_Releasing_PO4
L2,0.025672285,0.09401407,0.13617745,0.00065732386,0.83697337,0.018754029646515846,0.0027542549651116133,0.011779941618442535,0.006531114224344492,0.0001402199559379369
L3,0.06700301,0.04982817,0.14247023,0.0013465045,0.70666146,0.025774691253900528,0.0012538686860352755,0.026412058621644974,0.02685605362057686,0.0006117030279710889
L4,0.03296566,0.14490186,0.15671852,0.0011485494,0.56322914,0.023105565458536148,0.0022616360802203417,0.009171368554234505,0.018611151725053787,0.0007095822948031127
L6,0.0587622,0.07173637,0.11552021,0.0021073255,0.7478585,0.003116318956017494,0.002548161894083023,0.026903776451945305,0.008136393502354622,0.000352811417542398
L7,0.10659979,0.041944217,0.04685841,0.0021172622,0.82668716,0.020022571086883545,0.0022703141439706087,0.015346426516771317,0.006674249190837145,0.00018026769976131618
L10,0.08275321,0.049620185,0.02937253,0.00177193,0.70727324,0.021492281928658485,0.002102028112858534,0.006024736911058426,0.01970922388136387,0.0004053367883898318
L11,0.079991415,0.04881735,0.041913196,0.0022085533,0.8381025,0.02279997244477272,0.001968361670151353,0.02877536229789257,0.014619657769799232,9.411744395038113e-05
L12,0.026500719,0.07405429,0.16103773,0.0008124478,0.82583386,0.023263057693839073,0.0029472652822732925,0.01883198879659176,0.0036301088985055685,0.00030357588548213243
L14,0.08704542,0.006041237,0.1259703,0.002465874,0.91113394,0.02655852772295475,0.003215055214241147,0.024996822699904442,0.016263645142316818,0.0016218879027292132
L15,0.01742393,0.09878464,0.0946984,0.001159047,0.9493854,0.011518684215843678,0.0017533217323943973,0.008931493386626244,0.0040130531415343285,0.0002270619006594643
L16,0.15638621,0.008072662,0.15785283,0.0024595435,0.89301026,0.013413556851446629,0.0015260027721524239,0.029582809656858444,0.020969295874238014,0.0002351082512177527
L17,0.04440694,0.03531855,0.048187546,0.0020609978,0.8735423,0.023334024474024773,0.0026258244179189205,0.009242881089448929,0.02812015824019909,0.0002123591402778402
L18,0.039797522,0.13989021,0.1131901,0.0006666139,0.8813846,0.005812598392367363,0.002130286069586873,0.029859324917197227,0.014741132967174053,0.0002463821729179472
L19,0.104560256,0.019369856,0.024960635,0.0017897016,0.87270784,0.028632044792175293,0.0032081077806651592,0.010592297650873661,0.0054488405585289,0.00019064641674049199
L20,0.03938392,0.16289112,0.119622484,0.0007042451,0.7743021,0.005176146049052477,0.0028918280731886625,0.03104129247367382,0.009524421766400337,0.00013135890185367316
L22,0.027691469,0.06323136,0.064413175,0.0022854998,0.7754522,0.024584896862506866,0.0024143087211996317,0.023809362202882767,0.020490851253271103,0.0003567611856851727
L23,0.06150244,0.042671233,0.16842684,0.00071727595,0.6389539,0.028066910803318024,0.002095620846375823,0.029224462807178497,0.008759984746575356,0.00012839667033404112
L25,0.04026648,0.052244034,0.05800156,0.0022012326,0.78168005,0.012031163088977337,0.0022192425094544888,0.02278183028101921,0.0005425360286608338,0.0014707152731716633
L26,0.034215484,0.07482199,0.02268431,0.0021705118,0.83429694,0.02503606304526329,0.002228895667940378,0.005070715211331844,0.02888905256986618,0.00037446970236487687
L28,0.083527304,0.15698022,0.16229174,0.00075173826,0.7944714,0.02251419611275196,0.0024544652551412582,0.02915489673614502,0.005129172001034021,0.00012284083641134202
L29,0.032110393,0.11631176,0.099223085,0.001239471,0.89488363,0.014403946697711945,0.0028859020676463842,0.014565106481313705,0.025472920387983322,0.0006160562625154853
L30,0.026765436,0.12610209,0.15235496,0.000501418,0.9038753,0.027817824855446815,0.0025835554115474224,0.007549121510237455,0.021525520831346512,0.0007055706810206175
L31,0.049851857,0.06756263,0.1172967,0.002253224,0.935745,0.002628339221701026,0.0021308553405106068,0.022636445239186287,0.005751262418925762,8.736818563193083e-05
L32,0.042630125,0.023999557,0.043738015,0.0022595578,0.85872877,0.014722966589033604,0.0018267047125846148,0.008491132408380508,0.02548903226852417,0.0003394419327378273
L34,0.149803,0.012938394,0.16846138,0.0023818163,0.61415154,0.01877306029200554,0.002657631179317832,0.024229945614933968,0.008820764720439911,0.0004606768488883972
L37,0.15026762,0.26740903,0.19253838,0.0023745683,0.8930523,0.024298928678035736,0.0005412728060036898,0.005651228595525026,0.02095300517976284,3.5945569834439084e-05
L38,0.04415484,0.17224817,0.16331187,0.0015622836,0.4368764,0.027780627831816673,0.002706254366785288,0.00718933017924428,0.014697641134262085,0.0005403918330557644
L39,0.061880007,0.07174693,0.12550962,0.0019264611,0.7760373,0.002128371736034751,0.0018877665279433131,0.031303875148296356,0.008949756622314453,0.00023279571905732155
L41,0.0345581,0.13561827,0.11717885,0.0027335028,1.0015514,0.019936101511120796,0.001862035016529262,0.014255046844482422,0.01628289185464382,5.304606384015642e-05
L42,0.031586085,0.068830594,0.05765012,0.0022154064,0.8584234,0.020262978971004486,0.0024548580404371023,0.01867983676493168,0.025112900882959366,0.00038563107955269516
L43,0.11128851,0.026612226,0.044407565,0.0022266826,0.8401158,0.02422947995364666,0.0019083203515037894,0.02010388672351837,0.01592283882200718,4.8676385631551966e-05
L44,0.13313547,0.07241863,0.07075615,0.0023668273,0.89961773,0.009651444852352142,0.0016757557168602943,0.021204523742198944,0.014770467765629292,7.27403094060719e-05
L45,0.020564409,0.14576446,0.16587825,0.0005734376,0.72830117,0.021249745041131973,0.0020547036547213793,0.008701523765921593,0.006732707377523184,0.00022851144603919238
L47,0.057028744,0.073961176,0.15189286,0.0021829258,0.45840308,0.02481784299015999,0.002647713292390108,0.023250697180628777,0.004263498354703188,0.00036868173629045486
L48,0.07887009,0.017443469,0.044659298,0.0021799,0.8060487,0.02141587808728218,0.002504713134840131,0.014851061627268791,0.03479541838169098,0.0013071679277345538
L51,0.01971172,0.18095253,0.124410555,0.001027555,0.81543505,0.00989186018705368,0.0027447259053587914,0.016867607831954956,0.022744690999388695,0.0002473597414791584
L52,0.020986453,0.12797248,0.085919514,0.0015205465,0.79737335,0.0151512511074543,0.002341184765100479,0.012799394316971302,0.006038267631083727,0.00022523988445755094
L53,0.09680104,0.15124784,0.060871392,0.0011939566,0.9400265,0.0131527716293931,0.0019694382790476084,0.02564917504787445,0.010120092891156673,0.00011491632176330313
L54,0.05757124,0.12892635,0.12505813,0.0009345425,0.92214817,0.025322699919342995,0.0022734063677489758,0.02560349367558956,0.007258344907313585,0.00011270484537817538
L55,0.07692518,0.062277228,0.15266488,0.0006164683,0.8807907,0.020783900797444705,0.0022401373765508956,0.017034155333628103,0.012528769298417805,0.0003478756355358807
L58,0.0812618,0.040405452,0.04169291,0.002286794,0.78164405,0.024024685844779015,0.002261189976707101,0.02212841622531414,0.0023520058020949364,0.00018015922978520393
L59,0.115459524,0.027665608,0.036402576,0.0023299647,0.7643037,0.02145976386964321,0.0028948585968464613,0.018270332366228104,0.006984013598412275,0.00020775734446942806
L60,0.0362407,0.05994366,0.18558383,0.0016458258,0.6127086,0.024441733956336975,0.00228591775521636,0.02680700272321701,0.004707015119493008,0.0005788026028312743
L62,0.08697168,0.019296622,0.034683723,0.00212659,0.9480801,0.021507691591978073,0.0019243437564000487,0.021550029516220093,0.02177661657333374,0.0003760042309295386
L64,0.072293214,0.018705009,0.03321851,0.002478543,0.9029328,0.02377530373632908,0.0021090798545628786,0.013001617975533009,0.009442191570997238,0.00034979113843292
L65,0.09196657,0.08254102,0.0067405202,0.0017634806,0.8340299,0.025968696922063828,0.0022785041946917772,0.024628588929772377,0.01095875259488821,0.0001848753890953958
L66,0.067891605,0.030590257,0.033514656,0.0022694624,0.6772864,0.02453860081732273,0.002990195993334055,0.011502237059175968,0.028996367007493973,0.0003744428977370262
L67,0.05580425,0.13879476,0.14681502,0.0016267722,0.45870462,0.01665513589978218,0.002131049055606127,0.019068270921707153,0.01662062108516693,0.000510971643961966
L68,0.030992944,0.11293619,0.11875733,0.0014754594,0.7647783,0.024595582857728004,0.0025237230584025383,0.007387184537947178,0.022511936724185944,0.0007742063025943935
L69,0.1025335,0.067156546,0.075248316,0.0016213015,0.8702385,0.023477008566260338,0.002608309732750058,0.01672782190144062,0.011159881949424744,0.00017672067042440176
L73,0.062331162,0.07012497,0.03622341,0.002201945,0.9860319,0.02017192356288433,0.001959180226549506,0.01647976040840149,0.0024884892627596855,0.00034429418155923486
L75,0.037724715,0.16395676,0.19309436,0.0023216703,0.8180901,0.027860727161169052,0.003003645222634077,0.018308868631720543,0.0028813129756599665,0.00017212567036040127
L77,0.10675403,0.22364204,0.16547447,0.0012787221,0.9409544,0.01963558793067932,0.0015897537814453244,0.009686903096735477,0.01107926294207573,6.302005931502208e-05
L78,0.10725663,0.018376851,0.0273111,0.0020355845,0.88045865,0.02743115834891796,0.002590237883850932,0.011615979485213757,0.026076363399624825,0.0005056958179920912
L81,0.024217982,0.28731364,0.15647273,0.0009453355,0.8007601,0.02259964868426323,0.0019300606800243258,0.005676585715264082,0.004193615633994341,0.0001286322803935036
L82,0.045482922,0.108092226,0.16759303,0.000959809,0.8692994,0.022395843639969826,0.0026935108471661806,0.027410509064793587,0.007719079963862896,9.154712461167946e-05
L83,0.04188459,0.09288438,0.060162783,0.0018347693,0.8358817,0.022567402571439743,0.0019420342287048697,0.006756698712706566,0.024087661877274513,0.00033035778324119747
L84,0.052578103,0.03481074,0.039712448,0.0016990722,0.9321073,0.02458147145807743,0.0027119191363453865,0.028883488848805428,0.029832830652594566,0.00030300318030640483
L85,0.10019378,0.021764072,0.027735973,0.0025135786,0.79860896,0.020358137786388397,0.002570211421698332,0.024379784241318703,0.012584647163748741,4.856896339333616e-05
L86,0.06673387,0.026058132,0.03554515,0.0019345405,0.80300826,0.025390733033418655,0.00266353995539248,0.020045043900609016,0.0036262443754822016,0.00021332086180336773
L87,0.019123005,0.104378305,0.13666813,0.00085656403,0.19917376,0.026077764108777046,0.0027565546333789825,0.012660382315516472,0.004282241687178612,0.0005642360192723572
L88,0.18988523,0.33730352,0.153828,0.0022477454,0.84406674,0.01609739288687706,0.0008311963174492121,0.0042634685523808,0.020179400220513344,3.473848119028844e-05
L91,0.10638786,0.009101983,0.053006064,0.0024671091,0.85576475,0.021064970642328262,0.0020384667441248894,0.027860019356012344,0.019882170483469963,0.00039772153832018375
L93,0.04550959,0.05692304,0.016322376,0.0018048781,0.86086106,0.02718173898756504,0.0015476279659196734,0.005413463804870844,0.003018999472260475,0.0003201596555300057
L95,0.07702218,0.07427638,0.07015575,0.0023414907,0.7842823,0.029018264263868332,0.00171215261798352,0.028134580701589584,0.002884017303586006,0.00026818618061952293
L97,0.07068793,0.05366692,0.032263648,0.0021889843,0.8755681,0.029592318460345268,0.0026088650338351727,0.010360125452280045,0.004206119105219841,0.0001431575365131721
L103,0.06935862,0.035225436,0.032525454,0.002091203,0.87944543,0.0244733989238739,0.00126715621445328,0.012590632773935795,0.007327812723815441,0.0002628136135172099
L104,0.09236197,0.11628544,0.10575416,0.0018052317,0.84273046,0.019107786938548088,0.001975148916244507,0.019884997978806496,0.006751675624400377,9.033261449076235e-05
L105,0.02453816,0.20547207,0.16022395,0.0010335515,0.6965464,0.009039009921252728,0.0024802740663290024,0.00835356768220663,0.005134057719260454,0.00034231276367790997
L106,0.042706363,0.12079218,0.17781988,0.00045775273,0.719209,0.030345017090439796,0.002704247599467635,0.013704693876206875,0.009723702445626259,0.00010205226135440171
L107,0.03688587,0.1154335,0.06627115,0.0006854384,0.8023103,0.029435982927680016,0.0024501264560967684,0.02465696446597576,0.007004346698522568,0.0001615142246009782
L108,0.019287508,0.15284109,0.14918052,0.00049690716,0.81361663,0.01404647808521986,0.0025414146948605776,0.015313727781176567,0.008981430903077126,0.0003057968569919467
L109,0.10674434,0.020525115,0.030872557,0.002176265,0.90026283,0.027805745601654053,0.0018143102061003447,0.00803259015083313,0.02321035973727703,0.0003989259712398052
L111,0.08642769,0.028148144,0.027984608,0.0018813198,0.966179,0.023348473012447357,0.0023730443790555,0.013701675459742546,0.010711800307035446,0.0003496189892757684
L113,0.027609985,0.15852678,0.12425467,0.0005456775,0.7924355,0.01962505653500557,0.0020741026382893324,0.00783842708915472,0.004164104349911213,0.0001051428189384751
L114,0.070391186,0.038392905,0.046145514,0.002625872,0.75541973,0.03038615733385086,0.0025301023852080107,0.012338035739958286,0.002526606200262904,0.0003230432339478284
L115,0.060262654,0.07703624,0.08772099,0.0021339376,0.7435964,0.02968473546206951,0.0016778807621449232,0.02237309142947197,0.005457024555653334,0.0002739204792305827
L117,0.037113845,0.06465484,0.17236684,0.0012741344,0.83229655,0.013376876711845398,0.0015550429234281182,0.010622951202094555,0.00420713983476162,0.0003241581725887954
L119,0.062966935,0.051218566,0.1185498,0.0020581912,0.798822,0.019342955201864243,0.0024359500966966152,0.015038048848509789,0.015164538286626339,0.00048228789819404483
L120,0.024203304,0.08122416,0.11657347,0.001174257,0.9339093,0.027860399335622787,0.0024172074627131224,0.01204044371843338,0.03015144355595112,0.0008066671434789896
L121,0.12425276,0.030300293,0.050231438,0.002383063,0.78615713,0.02672758139669895,0.0021411622874438763,0.02767433412373066,0.006916584447026253,8.00993584562093e-05
L123,0.06838418,0.035521913,0.064095,0.0023001416,0.7748573,0.01324448175728321,0.001565951737575233,0.005138253327459097,0.0084204887971282,0.0003401066642254591
L124,0.078023255,0.031180356,0.038415566,0.002456502,0.9125325,0.004003710113465786,0.0010290752397850156,0.023134605959057808,0.004431998357176781,0.00023577820684295148
L125,0.09227261,0.078572534,0.11075312,0.0008003403,0.7411048,0.0032106738071888685,0.001700296183116734,0.02347531169652939,0.007890245877206326,0.00010871560516534373
L126,0.026779411,0.09005307,0.05415544,0.0019809876,0.8318506,0.02542012557387352,0.0019428129307925701,0.008056951686739922,0.0011980494018644094,0.0014713737182319164
L127,0.055972658,0.036253925,0.04569833,0.002564362,0.817416,0.023916183039546013,0.0023226849734783173,0.026024552062153816,0.024196423590183258,0.00022203578555490822
L129,0.09913138,0.025042854,0.16027148,0.002149246,0.73595005,0.025292949751019478,0.00282980315387249,0.01290754321962595,0.027224022895097733,0.00036855769576504827
L131,0.035798386,0.069042616,0.08905449,0.0021378999,0.77967304,0.028355130925774574,0.0029165165033191442,0.015589247457683086,0.003442952875047922,0.0004796233552042395
L132,0.20200998,0.039210036,0.1635191,0.0022053868,0.6772315,0.01578405871987343,0.0021254122257232666,0.023521967232227325,0.021692125126719475,0.0003076864522881806
L133,0.049854364,0.07049145,0.10965308,0.0018069319,0.92395556,0.02982422709465027,0.0026666789781302214,0.014461547136306763,0.000981486402451992,0.00132720114197582
L134,0.06880164,0.037193753,0.017573023,0.0023239166,0.7933271,0.019620083272457123,0.0011157746193930507,0.014704524539411068,0.003805960062891245,0.0001482109510106966
L135,0.01704991,0.2083056,0.1285553,0.0003712654,0.69581866,0.020632177591323853,0.002346759894862771,0.016933824867010117,0.017641328275203705,0.0007742022862657905
L136,0.026703155,0.11837238,0.16237266,0.00048644264,0.8997168,0.02351277694106102,0.002227941295132041,0.00657174177467823,0.010628404095768929,0.0005260452162474394
L137,0.067750715,0.029165452,0.032540318,0.0025193088,0.8130621,0.02608361840248108,0.0025056565646082163,0.0022914388682693243,0.006298874504864216,0.00020714041602332145
L140,0.13339773,0.10604541,0.10159303,0.0019947495,0.7900791,0.0018638067413121462,0.0021907517220824957,0.022036908194422722,0.010835946537554264,5.61047054361552e-05
L141,0.07905208,0.044512667,0.03141926,0.0019869334,0.7769675,0.024313976988196373,0.002788913669064641,0.011092077940702438,0.010489631444215775,0.00043071014806628227
L142,0.08837683,0.06929608,0.077317044,0.0024237037,0.6020942,0.0304582379758358,0.00265921326354146,0.025050824508070946,0.01825730688869953,4.286170224077068e-05
